text,label,disaster_score,damage_score,literal_score,urgency_score,disaster_raw_output,damage_raw_output,literal_raw_output,urgency_raw_output,mean_score
"The speeding car rammed into a group of people, who were returning after attending a temple festival of Ayyappan Ka… https://t.co/e3bBlaVDDA",1,0,0,0,0,0,0,0,0,0.0
"6yr old Bella needs a new home due to an incident that was an accident, she can live with older kids and in the right ho…",0,0,0,0,0,0,0,0,0,0.0
"👀Look at this shit,😠she need her little ass whooped before she hit somebody by accident. #lecheminduroi #bransoncognac #starzge…",0,0,0,0,0,0,0,0,0,0.0
You're not an accident on the earth. You're God's divinely crafted masterpiece. He designed you with a destiny in v… https://t.co/KfC7Tpwuj6,0,0,0,0,0,0,0,0,0,0.0
Iran Says That They Shot Down Ukraine International Flight 172 By Accident. Here is an Picture of that Aircraft in… https://t.co/COdnYq77uZ,1,0,0,0,0,0,0,0,0,0.0
Saw this truck with the container almost falling off this morning. Reported…,1,0,0,0,0,0,0,0,0,0.0
Judge less smile more. It isn’t the oldest profession by accident lol,0,0,0,0,0,0,0,0,0,0.0
Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/SF2wBVd5me,1,0,0,0,0,0,0,0,0,0.0
3.6 aftershock at 4:05 am. I was asleep and the movement of my bed woke me up. Not so scary but I wish they weren't… https://t.co/LA2mwCLXhf,1,0,0,0,0,0,0,0,0,0.0
"Good Night my friends, As per USGS, the new 5.9 quake in this morning caused the 7-day aftershock forecast to change.…",1,0,0,0,0,0,0,0,0,0.0
Yea it wasnt that long she killed me in like 6 or 7 seconds but not sure would have to… https://t.co/pexyxYJoFM,0,0,0,0,0,0,0,0,0,0.0
Honored to have an essay in #AfterShock Marking the 50th anniversary of Alvin Toffler’s Future Shock Compendium of essays in t…,0,0,0,0,0,0,0,0,0,0.0
TICKETS ON SALE!!!!!!!!!! - Aftershock https://t.co/kQHMzbgmvk #nowplaying #k4hdradio,0,0,0,0,0,0,0,0,0,0.0
Come with us to Aftershock!,0,0,0,0,0,0,0,0,0,0.0
o_O ! I think I felt your aftershock,0,0,0,0,0,0,0,0,0,0.0
A quick comparison of the ongoing 2020 M6.4 Puerto Rico earthquake sequence and the 2003 M6.5 Central California sequenc…,1,0,0,0,0,0,0,0,0,0.0
"Why are Puerto Ricans refusing to go home? Aside from the 5.4 aftershock just now, the ground in southwest Puerto Rico has…",1,0,0,0,0,0,0,0,0,0.0
2010 - Inception. The Social Network. Easy A. Black Swan. Toy Story 3. The Kids are All Right. Aftershock.,0,0,0,0,0,0,0,0,0,0.0
Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/rrTNTMA8NR,1,0,0,0,0,0,0,0,0,0.0
Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/wW3CdsvDV2,1,0,0,0,0,0,0,0,0,0.0
A other Hard hit https://t.co/x3e2mf6DKo,0,0,0,0,0,0,0,0,0,0.0
"Musharaf verdict was just mild aftershock of extension, one should not worry what comes after extention.",0,0,0,0,0,0,0,0,0,0.0
Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/vRAdkSZaLn,1,0,0,0,0,0,0,0,0,0.0
Kumera yellow Aftershock #PH19FOSSIL featured in bankbtn Good Living magazine Photography Stylist shino… https://t.co/V9LJ65ttzR,0,0,0,0,0,0,0,0,0,0.0
Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/MMxXzwBpaF,1,0,0,0,0,0,0,0,0,0.0
Please pray for #PuertoRico!!!!! https://t.co/uWqP2yNohW,0,0,0,0,0,0,0,0,0,0.0
Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/lRTLlbB9TV,1,0,0,0,0,0,0,0,0,0.0
И снова о кризисе демографии (Yakov_Z) https://t.co/BlgYuNumDG,0,0,0,0,0,0,0,0,0,0.0
Darkake(7 yeek possessor) was killed by possession aftershock on Ritches Tunnels 2. https://t.co/AZoiZicsDe,1,0,0,0,0,0,0,0,0,0.0
Check out my latest video... SUPERZERO VOL. 1 - CLOSER LOOK https://t.co/T36KGXJdvY A closer look at SUPERZERO VOL. 1 by Am…,0,0,0,0,0,0,0,0,0,0.0
Might be a small aftershock. I didn't feel anything,0,0,0,0,0,0,0,0,0,0.0
"Stay informed, stay engaged with whats going on in #PuertoRico after the #earthquake The USGS’ 30-Day aftershock s… https://t.co/bYIBfpLHYg",0,0,0,0,0,0,0,0,0,0.0
This isnt good. I feel for the people of Puerto Rico https://t.co/gZC7TYroxS,0,0,0,0,0,0,0,0,0,0.0
"Aftershock Vapor 15 Pro Review – Aussie, Aussie, Aussie https://t.co/pWNq3VAr2r #PowerUpAU",0,0,0,0,0,0,0,0,0,0.0
Puerto Rico Worker explains Earthquake aftershock. Pleading to go viral https://t.co/hhfjQNLEt8 via,0,0,0,0,0,0,0,0,0,0.0
this is an unfathomable number. I lived through a large earthquake and we slept under the table for one terrible night…,0,0,0,0,0,0,0,0,0,0.0
nah I need calm down 💀 https://t.co/eOKphShN5R,0,0,0,0,0,0,0,0,0,0.0
thinking about how some1 spat blood at me during Marilyn Manson’s set at aftershock 👁👁,0,0,0,0,0,0,0,0,0,0.0
"If two quakes have about the same magnitude, you cannot say one is the other's preshock or aftershock. Only when one is obv…",0,0,0,0,0,0,0,0,0,0.0
"An M4+~M5+ aftershock happens within 15 days after an M5+~M6+ main shock. If you can predict it, then you can say it is an…",1,0,0,0,0,0,0,0,0,0.0
I don't think Silivri M4.8 is an aftershock of the Silivri M5.7 a few months ago. 😀 Quake professors always say such nonsen…,0,0,0,0,0,0,0,0,0,0.0
I think it’s an aftershock from ’s lyrical beat down. Brent never recovered.,0,0,0,0,0,0,0,0,0,0.0
Apex is all about separating from Monarch. They’re “separation. Well from my theory on how MechaGod… https://t.co/aBzDKqocPv,0,0,0,0,0,0,0,0,0,0.0
thinking about how some1 spat blood at me during Marilyn Manson’s set at aftershock 👁👁,0,0,0,0,0,0,0,0,0,0.0
Or sending my mate Simon to the bar and asking for a Guiness but ending up with a Carlsberg Export and a Mint After…,0,0,0,0,0,0,0,0,0,0.0
#USGS #earthquake experts are in #PuertoRico installing temporary seismometers to help track seismic events including a Jan. 7 ma…,0,0,0,0,0,0,0,0,0,0.0
Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/P9Th3vpTak,1,0,0,0,0,0,0,0,0,0.0
"Over the weekend, Puerto Rico was struck by a 5.9 aftershock, causing more damage to homes and schools and leaving thou…",1,0,0,0,0,0,0,0,0,0.0
How could you leave when I gave you my all 💔,0,0,0,0,0,0,0,0,0,0.0
"For the full experience, start with this one, 1st in the series. Food was running low. To save the young, the governor…",0,0,0,0,0,0,0,0,0,0.0
The magnitude 5.9 quake in #PuertoRico this morning caused our 7-day aftershock forecast to change. We now estimate an increased…,1,0,0,0,0,0,0,0,0,0.0
We continue to update our 30-day aftershock forecast scenarios for #PuertoRico. Forecasts are posted in both English https://t.co…,0,0,0,0,0,0,0,0,0,0.0
Another 6.0 aftershock has hit Puerto Rico after last night. People cannot go home if they even have one. They have no po…,1,0,0,0,0,0,0,0,0,0.0
Aftershock comics. We prefer working in partnership with our creators to build out that team from the ground up.,0,0,0,0,0,0,0,0,0,0.0
Did the other earthquake/aftershock mess up the power again?!,0,0,0,0,0,0,0,0,0,0.0
Aftershock forecast for Puerto Rico,0,0,0,0,0,0,0,0,0,0.0
Like Iran shooting an airplane was an accident,1,0,0,0,0,0,0,0,0,0.0
Bing Bong Airplane Accident Remix,0,0,0,0,0,0,0,0,0,0.0
Morgan is surprised to see Shaun back at work already and offers her condolences on his dad. Shaun says the airplan… https://t.co/SXwRBa7hj5,0,0,0,0,0,0,0,0,0,0.0
"That’s a load of rubbish, there was never an imminent threat, Jesus Christ!!!Iran sho… https://t.co/C815DfZF7C",0,0,0,0,0,0,0,0,0,0.0
